Source,Target,Type
L808,13,undirected
L809,13,undirected
L810,13,undirected
L518,13,undirected
L319,13,undirected
L26,13,undirected
L5,13,undirected
L37,13,undirected
L811,13,undirected
L812,13,undirected
L813,13,undirected
L814,13,undirected
L815,13,undirected
L816,13,undirected
L817,13,undirected
L122,13,undirected
L818,13,undirected
L819,13,undirected
L820,13,undirected
L821,13,undirected
L822,13,undirected
L823,13,undirected
L824,13,undirected
L825,13,undirected
L826,13,undirected
L827,13,undirected
L828,13,undirected
L829,13,undirected
L830,13,undirected
L831,13,undirected
L832,13,undirected
L833,13,undirected
L834,13,undirected
L835,13,undirected
L836,13,undirected
L837,13,undirected
L838,13,undirected
L839,13,undirected
L840,13,undirected
L841,13,undirected
L842,13,undirected
L843,13,undirected
L844,13,undirected
L845,13,undirected
L846,13,undirected
L847,13,undirected
L848,13,undirected
L849,13,undirected
L850,13,undirected
L851,13,undirected
L852,13,undirected
L853,13,undirected
L854,13,undirected
L855,13,undirected
L856,13,undirected
L857,13,undirected
L858,13,undirected
L31,13,undirected
L859,13,undirected
L860,13,undirected
L861,13,undirected
L862,13,undirected
L863,13,undirected
L152,13,undirected
L864,13,undirected
L865,13,undirected
L866,13,undirected
L867,13,undirected
L868,13,undirected
L869,13,undirected
L870,13,undirected
L871,13,undirected
L872,13,undirected
L873,13,undirected
L137,13,undirected
L613,13,undirected
L874,13,undirected
L128,13,undirected
L875,13,undirected
L876,13,undirected
L877,13,undirected
L878,13,undirected
L879,13,undirected
L880,13,undirected
L881,13,undirected
L882,13,undirected
L883,13,undirected
L884,13,undirected
L885,13,undirected
L886,13,undirected
L887,13,undirected
L888,13,undirected
L889,13,undirected
L890,13,undirected
L891,13,undirected
L892,13,undirected
L893,13,undirected
L894,13,undirected
L895,13,undirected
L896,13,undirected
L897,13,undirected
L321,13,undirected
L195,13,undirected
L898,13,undirected
L899,13,undirected
L900,13,undirected
L901,13,undirected
L902,13,undirected
L903,13,undirected
L904,13,undirected
L905,13,undirected
L906,13,undirected
L907,13,undirected
L908,13,undirected
L909,13,undirected
L910,13,undirected
L911,13,undirected
L912,13,undirected
L514,13,undirected
L913,13,undirected
L914,13,undirected
L915,13,undirected
L916,13,undirected
L917,13,undirected
L918,13,undirected
L919,13,undirected
L416,13,undirected
L371,13,undirected
L920,13,undirected
L921,13,undirected
L922,13,undirected
L923,13,undirected
L924,13,undirected
L925,13,undirected
L926,13,undirected
L156,13,undirected
L927,13,undirected
L928,13,undirected
L929,13,undirected
L930,13,undirected
L931,13,undirected
L932,13,undirected
L933,13,undirected
L934,13,undirected
L935,13,undirected
L43,13,undirected
L936,13,undirected
L422,13,undirected
L937,13,undirected
L938,13,undirected
L939,13,undirected
L940,13,undirected
L941,13,undirected
L942,13,undirected
L943,13,undirected
L944,13,undirected
L945,13,undirected
L946,13,undirected
L564,13,undirected
L947,13,undirected
L426,13,undirected
L948,13,undirected
L949,13,undirected
L950,13,undirected
L951,13,undirected
L952,13,undirected
L953,13,undirected
L954,13,undirected
L955,13,undirected
L956,13,undirected
L957,13,undirected
L958,13,undirected
L23,13,undirected
L74,13,undirected
L72,13,undirected
L73,13,undirected
L959,13,undirected
L960,13,undirected
L961,13,undirected
L315,13,undirected
L351,13,undirected
L962,13,undirected
L963,13,undirected
L21,13,undirected
L964,13,undirected
L965,13,undirected
L966,13,undirected
L967,13,undirected
L968,13,undirected
L79,13,undirected
L46,13,undirected
L161,13,undirected
L969,13,undirected
L970,13,undirected
L318,13,undirected
L971,13,undirected
L102,13,undirected
L972,13,undirected
L27,13,undirected
L973,13,undirected
L974,13,undirected
L524,13,undirected
L153,13,undirected
L975,13,undirected
L976,13,undirected
L977,13,undirected
L978,13,undirected
L979,13,undirected
L980,13,undirected
L981,13,undirected
L184,13,undirected
L982,13,undirected
L983,13,undirected
L984,13,undirected
L985,13,undirected
L986,13,undirected
L987,13,undirected
L988,13,undirected
L334,13,undirected
L989,13,undirected
L990,13,undirected
L991,13,undirected
L992,13,undirected
L993,13,undirected
L994,13,undirected
L995,13,undirected
L996,13,undirected
L997,13,undirected
L998,13,undirected
L999,13,undirected
L45,13,undirected
L1000,13,undirected
L155,13,undirected
L360,13,undirected
L189,13,undirected
L1001,13,undirected
L1002,13,undirected
L1003,13,undirected
L1004,13,undirected
L1005,13,undirected
L343,13,undirected
L539,13,undirected
L1006,13,undirected
L353,13,undirected
L147,13,undirected
L1007,13,undirected
L1008,13,undirected
L1009,13,undirected
L80,13,undirected
L25,13,undirected
L293,13,undirected
L340,13,undirected
L1010,13,undirected
L77,13,undirected
L1011,13,undirected
L350,13,undirected
L364,13,undirected
L1012,13,undirected
L324,14,undirected
L1013,14,undirected
L1014,14,undirected
L343,14,undirected
L21,14,undirected
L772,16,undirected
L1015,16,undirected
L1016,16,undirected
L1017,16,undirected
L353,16,undirected
L501,16,undirected
L1018,16,undirected
L1019,16,undirected
L295,16,undirected
L828,16,undirected
L1020,16,undirected
L137,16,undirected
L1021,16,undirected
L661,16,undirected
L1022,16,undirected
L1023,16,undirected
L1024,16,undirected
L1025,16,undirected
L1026,16,undirected
L1027,16,undirected
L301,16,undirected
L1028,16,undirected
L1029,16,undirected
L1030,16,undirected
L1031,16,undirected
L1032,16,undirected
L1033,16,undirected
L1034,16,undirected
L1035,16,undirected
L1036,16,undirected
L1037,16,undirected
L1038,16,undirected
L1039,16,undirected
L1040,16,undirected
L101,16,undirected
L1041,16,undirected
L1042,16,undirected
L1043,16,undirected
L1044,16,undirected
L1045,16,undirected
L1046,16,undirected
L318,16,undirected
L1047,16,undirected
L1048,16,undirected
L307,16,undirected
L539,16,undirected
L322,16,undirected
L1049,16,undirected
L516,16,undirected
L1050,16,undirected
L518,16,undirected
L1051,16,undirected
L128,16,undirected
L1052,16,undirected
L1053,16,undirected
L1054,16,undirected
L1055,16,undirected
L1056,16,undirected
L1057,16,undirected
L1058,16,undirected
L1059,16,undirected
L79,16,undirected
L1060,16,undirected
L1061,16,undirected
L1062,16,undirected
L1063,16,undirected
L524,16,undirected
L1064,16,undirected
L1065,16,undirected
L1066,16,undirected
L1067,16,undirected
L1068,16,undirected
L1069,16,undirected
L21,16,undirected
L577,16,undirected
L207,16,undirected
L190,16,undirected
L535,16,undirected
L25,16,undirected
L355,16,undirected
L338,16,undirected
L364,16,undirected
L1070,16,undirected
L1071,16,undirected
L1072,16,undirected
L1073,16,undirected
L1074,16,undirected
L1075,16,undirected
L325,16,undirected
L1076,16,undirected
L1077,16,undirected
L1078,16,undirected
L1079,16,undirected
L1080,16,undirected
L1081,16,undirected
L1082,16,undirected
L1083,16,undirected
L1084,16,undirected
L1085,16,undirected
L350,16,undirected
L1086,16,undirected
L1087,16,undirected
L1088,16,undirected
L1089,18,undirected
L1090,18,undirected
L1091,18,undirected
L1092,18,undirected
L295,18,undirected
L1093,18,undirected
L1094,18,undirected
L1095,18,undirected
L1096,18,undirected
L1097,18,undirected
L1098,18,undirected
L828,18,undirected
L1099,18,undirected
L935,18,undirected
L1100,18,undirected
L1101,18,undirected
L1102,18,undirected
L1103,18,undirected
L1104,18,undirected
L1105,18,undirected
L1106,18,undirected
L1107,18,undirected
L1108,18,undirected
L1109,18,undirected
L10,18,undirected
L1110,18,undirected
L1111,18,undirected
L1112,18,undirected
L1113,18,undirected
L1086,18,undirected
L1114,18,undirected
L334,18,undirected
L797,18,undirected
L161,18,undirected
L1115,18,undirected
L1116,18,undirected
L1117,18,undirected
L900,18,undirected
L1118,18,undirected
L1119,18,undirected
L1120,18,undirected
L1121,18,undirected
L1122,18,undirected
L1123,18,undirected
L1124,18,undirected
L1125,18,undirected
L1126,18,undirected
L1127,18,undirected
L1128,18,undirected
L1129,18,undirected
L370,18,undirected
L962,18,undirected
L1130,18,undirected
L1131,18,undirected
L189,18,undirected
L1132,18,undirected
L1133,18,undirected
L321,18,undirected
L293,18,undirected
L21,18,undirected
L1134,18,undirected
L1135,18,undirected
L1006,18,undirected
L1136,18,undirected
L1137,18,undirected
L1138,18,undirected
L1139,18,undirected
L1140,18,undirected
L1141,18,undirected
L27,18,undirected
L1142,18,undirected
L1143,18,undirected
L918,18,undirected
L147,18,undirected
L1144,18,undirected
L1145,18,undirected
L1146,18,undirected
L1147,18,undirected
L880,18,undirected
L1148,18,undirected
L810,18,undirected
L1149,18,undirected
L1150,18,undirected
L1151,18,undirected
L1152,18,undirected
L1153,18,undirected
L357,18,undirected
L1154,18,undirected
L995,18,undirected
L1155,18,undirected
L1156,18,undirected
L1157,18,undirected
L1158,18,undirected
L1159,18,undirected
L1160,18,undirected
L1161,18,undirected
L1162,18,undirected
L939,18,undirected
L1163,18,undirected
L1164,18,undirected
L1165,18,undirected
L243,18,undirected
L1166,18,undirected
L1167,18,undirected
L1168,18,undirected
L924,18,undirected
L1169,18,undirected
L842,18,undirected
L1170,18,undirected
L862,18,undirected
L1171,18,undirected
L1172,18,undirected
L1173,18,undirected
L1174,18,undirected
L1175,18,undirected
L360,18,undirected
L1176,18,undirected
L1177,18,undirected
